"city","count2006","count2007","count2008","count2009","count2010","count2011","count2012","count2013","count2014"
"Ahwatukee",0,3,7,8,25,26,45,62,37
"Anthem",0,4,12,31,42,82,112,168,105
"Apache Junction",1,0,8,18,50,56,121,169,164
"Atlanta",0,0,3,0,3,3,3,1,3
"Avondale",1,7,64,96,220,329,466,668,554
"Black Canyon City",0,0,4,7,18,39,38,63,32
"Boulder City",0,3,0,2,8,11,13,24,27
"Buckeye",0,6,12,11,29,48,93,149,127
"Cambridge",0,0,0,0,0,0,1,4,6
"Carefree",1,2,16,27,47,64,77,99,55
"Casa Grande",0,1,8,50,87,138,150,208,161
"Cave Creek",4,21,61,154,234,431,469,641,406
"Central City Village",0,0,0,0,0,0,0,0,8
"Chandler",47,217,924,1383,2419,3819,4324,5601,4478
"City of Edinburgh",0,0,0,0,0,2,0,2,1
"Clark County",0,0,0,0,0,0,0,2,1
"Coolidge",0,0,1,1,8,2,13,10,11
"Cottage Grove",0,0,1,3,2,7,5,18,13
"Dalkeith",0,0,0,0,0,0,1,1,0
"Dane",0,0,0,0,1,0,0,1,1
"De Forest",0,1,3,2,10,13,17,19,12
"Edinburgh",0,2,112,300,2623,1422,1926,2570,1221
"El Mirage",0,0,5,8,12,26,35,45,33
"Enterprise",0,0,0,2,0,0,3,14,16
"Fitchburg",3,5,20,41,64,107,143,202,145
"Florence",0,0,0,0,4,11,20,39,32
"Fort McDowell",0,0,1,2,6,7,6,8,9
"Fountain Hills",0,9,13,40,60,138,168,276,281
"Gila Bend",0,1,3,5,8,19,25,38,25
"Gilbert",13,85,262,732,1253,1937,2320,3665,3231
"Glendale",8,84,407,793,1371,2068,2095,3268,2526
"Gold Canyon",0,2,1,3,9,27,46,44,34
"Goodyear",2,12,98,105,259,435,718,1003,711
"Green Valley",2,4,1,6,0,0,0,0,0
"Guadalupe",2,2,6,10,16,13,40,20,14
"Henderson",20,245,410,801,2078,4062,4820,6362,4702
"Higley",0,0,0,0,1,1,3,7,5
"Inverkeithing",0,0,0,0,0,0,1,0,0
"Juniper Green",0,0,0,0,0,3,1,4,2
"Kitchener",0,0,1,22,44,94,100,192,147
"Las Vegas",981,4495,9950,17133,34112,53255,60297,79493,60352
"Lasswade",0,0,0,0,0,0,0,1,1
"Laveen",0,6,8,14,34,39,48,96,57
"Litchfield Park",1,0,21,33,50,105,116,225,171
"Loanhead",0,0,0,0,0,0,0,1,0
"Madison",263,578,908,1657,2363,3083,3836,5417,3723
"Maricopa",0,0,1,19,68,76,123,204,109
"Mc Farland",0,1,6,4,14,21,18,27,13
"Mesa",18,146,499,1174,2024,3249,3739,5176,4206
"Middleton",7,38,76,119,129,222,290,375,224
"Monona",4,8,15,18,25,48,59,88,102
"Morristown",0,0,0,1,1,3,3,12,6
"Musselburgh",0,0,0,0,2,0,2,7,0
"Nellis AFB",0,0,0,1,0,0,5,7,5
"New River",0,0,1,6,5,4,20,15,4
"New Town",0,0,0,0,7,1,0,1,0
"North Scottsdale",2,1,2,5,8,15,20,17,13
"Old Town",0,0,0,0,0,0,0,0,6
"Paradise Valley",0,0,0,3,11,8,1,14,13
"Paradise Valley Valley",12,31,65,80,177,175,193,240,173
"Peoria",5,29,130,308,566,975,1086,1680,1313
"Pheonix",0,0,1,0,4,6,2,5,0
"Phoenix",304,1556,5442,9423,14047,19398,20590,29523,21967
"Queen Creek",0,6,45,104,217,274,354,538,473
"Queensferry",0,0,0,1,2,2,1,3,0
"Ratho",0,0,0,0,0,0,2,3,1
"Rio Verde",0,0,0,0,1,2,2,2,0
"Saint Jacobs",0,0,0,0,1,1,1,1,0
"San Tan Valley",0,0,1,4,18,34,51,87,76
"Scottsdale",282,1003,2749,4532,7617,11041,11848,16527,11544
"Sedona",0,0,1,3,13,20,19,21,4
"South Gyle",0,0,0,0,0,1,0,0,1
"South Queensferry",0,0,0,5,6,2,3,0,3
"Spring Valley",0,0,3,6,23,45,47,54,26
"St Clements",0,0,0,0,0,0,1,0,1
"St Jacobs",0,0,0,0,0,1,2,2,1
"Stockbridge",0,0,0,0,0,0,0,9,2
"Stoughton",0,1,1,0,1,1,3,9,3
"Summerlin",0,1,6,7,24,54,43,52,37
"Sun City",0,3,12,20,45,78,88,162,98
"Sun Lakes",0,2,2,2,1,12,9,6,9
"Sun Prairie",0,2,4,18,54,61,109,205,163
"Surprise",0,16,82,181,295,496,892,1019,757
"Tempe",114,697,1765,2662,4407,6297,5973,8113,5799
"Tolleson",0,1,3,10,18,45,64,75,54
"Tonopah",0,0,0,0,1,3,1,3,3
"Tortilla Flat",0,1,2,4,6,4,6,14,13
"Trempealeau",0,0,0,1,0,1,1,2,2
"Verona",0,6,5,5,22,38,55,90,39
"Waterloo",0,0,8,42,74,148,221,359,269
"Waunakee",0,0,1,6,11,12,8,33,32
"Wickenburg",0,2,3,12,24,59,79,119,82
"Windsor",0,0,0,0,2,4,8,8,2
"Woolwich",0,0,0,0,2,1,0,0,0
"Youngtown",0,0,0,0,0,5,6,21,9
