"city","count2006","count2007","count2008","count2009","count2010","count2011","count2012","count2013","count2014"
"Avondale",1,7,64,96,220,329,466,668,554
"Chandler",47,217,924,1383,2419,3819,4324,5601,4478
"Edinburgh",0,2,112,300,2623,1422,1926,2570,1221
"Gilbert",13,85,262,732,1253,1937,2320,3665,3231
"Glendale",8,84,407,793,1371,2068,2095,3268,2526
"Goodyear",2,12,98,105,259,435,718,1003,711
"Henderson",20,245,410,801,2078,4062,4820,6362,4702
"Las Vegas",981,4495,9950,17133,34112,53255,60297,79493,60352
"Madison",263,578,908,1657,2363,3083,3836,5417,3723
"Mesa",18,146,499,1174,2024,3249,3739,5176,4206
"Peoria",5,29,130,308,566,975,1086,1680,1313
"Phoenix",304,1556,5442,9423,14047,19398,20590,29523,21967
"Scottsdale",282,1003,2749,4532,7617,11041,11848,16527,11544
"Surprise",0,16,82,181,295,496,892,1019,757
"Tempe",114,697,1765,2662,4407,6297,5973,8113,5799
